,S&P500,KOSPI200
2017-01-18,2271.89,267.08
2017-01-17,2267.89,267.37
2017-01-16,2267.89,266.15
2017-01-13,2274.64,267.91
2017-01-12,2270.44,269.95
2017-01-11,2275.32,268.15
2017-01-10,2268.9,263.73
2017-01-09,2268.9,263.74
2017-01-06,2276.98,263.2
2017-01-05,2269.0,261.98
2017-01-04,2270.75,263.12
2017-01-03,2257.83,262.97
2017-01-02,2257.83,260.36
2016-12-30,2238.83,260.36
2016-12-29,2249.26,260.01
2016-12-28,2249.92,259.7
2016-12-27,2268.88,262.49
2016-12-26,2268.88,261.9
2016-12-23,2263.79,261.61
2016-12-22,2260.96,261.97
2016-12-21,2265.18,262.1
2016-12-20,2270.76,262.59
2016-12-19,2262.53,261.93
2016-12-16,2258.07,262.56
2016-12-15,2262.03,261.45
2016-12-14,2253.28,262.0
2016-12-13,2271.72,261.63
2016-12-12,2256.96,260.72
2016-12-09,2259.53,260.91
2016-12-08,2246.19,262.0
2016-12-07,2241.35,256.34
2016-12-06,2212.23,255.63
2016-12-05,2204.71,252.14
2016-12-02,2191.95,252.88
2016-12-01,2191.08,254.48
2016-11-30,2198.81,254.26
2016-11-29,2204.66,252.91
2016-11-28,2201.72,252.96
2016-11-25,2213.35,252.26
2016-11-24,2213.35,252.03
2016-11-23,2204.72,253.66
2016-11-22,2202.94,252.37
2016-11-21,2198.18,249.51
2016-11-18,2181.9,250.21
2016-11-17,2187.12,250.46
2016-11-16,2176.94,250.32
2016-11-15,2180.39,249.2
2016-11-14,2164.2,250.01
2016-11-11,2164.45,251.99
2016-11-10,2167.48,255.31
2016-11-09,2163.26,249.67
2016-11-08,2139.56,255.26
2016-11-07,2131.52,254.6
2016-11-04,2085.18,252.57
2016-11-03,2088.66,252.9
2016-11-02,2097.94,252.83
2016-11-01,2111.72,255.99
2016-10-31,2126.15,255.93
2016-10-28,2126.41,256.53
2016-10-27,2133.04,256.66
2016-10-26,2139.43,255.52
2016-10-25,2143.16,258.57
2016-10-24,2151.33,259.48
2016-10-21,2141.16,257.26
2016-10-20,2141.34,258.41
2016-10-19,2144.29,258.21
2016-10-18,2139.6,257.98
2016-10-17,2126.5,256.19
2016-10-14,2132.98,255.09
2016-10-13,2132.55,253.93
2016-10-12,2139.18,256.2
2016-10-11,2136.73,256.15
2016-10-10,2163.66,260.31
2016-10-07,2153.74,260.06
2016-10-06,2160.77,261.13
2016-10-05,2159.73,258.99
2016-10-04,2150.49,259.18
2016-10-03,2161.2,259.18
2016-09-30,2168.27,257.49
2016-09-29,2151.13,260.35
2016-09-28,2171.37,258.21
2016-09-27,2159.93,259.57
2016-09-26,2146.1,257.48
2016-09-23,2164.69,258.37
2016-09-22,2177.18,258.34
2016-09-21,2163.12,256.52
2016-09-20,2139.76,255.09
2016-09-19,2139.12,253.93
2016-09-16,2139.16,253.93
2016-09-15,2147.26,253.93
2016-09-14,2125.77,253.93
2016-09-13,2127.02,251.77
2016-09-12,2159.04,250.53
2016-09-09,2127.81,257.31
2016-09-08,2181.3,260.86
2016-09-07,2186.16,260.31
2016-09-06,2186.48,260.93
2016-09-05,2186.48,259.64
2016-09-02,2179.98,256.5
2016-09-01,2170.86,256.03
2016-08-31,2170.95,256.87
2016-08-30,2176.12,257.49
2016-08-29,2180.38,256.49
2016-08-26,2169.04,256.23
2016-08-25,2172.47,257.26
2016-08-24,2175.44,257.3
2016-08-23,2186.9,258.42
2016-08-22,2182.64,257.27
